Address,Amt per m²,Balcony,District,Elevator,Floor,Location,Monthly Pay,Municipality,Patio,Price,Size in m²,Total Rooms,Latitude,Longitude,lat_2,long_2,Distance
Multrågatan 126,36779.661016949154,True,Parkstad,False,3.0,"Parkstad,Stockholm",4373.0,Stockholms kommun,False,2170000,59.0,2.5,59.3597829,17.8811986,59.3324,18.0645,10.82876279350026
Minervavägen 28,52127.65957446808,True,Häggvik Strand,True,4.0,"Häggvik Strand,Sollentuna",2775.0,Sollentuna kommun,False,2450000,47.0,2.0,59.4473628,17.9342235,59.3324,18.0645,14.758749046831966
Mörbydalen 11,51315.78947368421,True,Mörbyskogen,True,1.0,"Mörbyskogen,Danderyd",4426.0,Danderyds kommun,False,3900000,76.0,3.0,59.3960446,18.0481761,59.3324,18.0645,7.137146111762854
Knäredsgränd 28,39122.80701754386,False,Östbergahöjden,True,2.0,"Östbergahöjden,Stockholm",4113.0,Stockholms kommun,False,2230000,57.0,2.0,59.2857507,18.0342105,59.3324,18.0645,5.464602865111126
Midskeppsgatan 12,74742.26804123711,True,Hammarby Sjöstad,True,4.0,"Hammarby Sjöstad,Stockholm",6462.0,Stockholms kommun,False,7250000,97.0,4.0,59.3020243,18.1061853,59.3324,18.0645,4.123449205101701
Vinthundsgatan 115,56000.0,True,Brotorp,True,3.0,"Brotorp,Sundbyberg",5017.0,Sundbybergs kommun,True,4480000,80.0,3.0,59.382081,17.9785122,59.3324,18.0645,7.36658543817487
Redargatan 3,85274.72527472528,False,Hammarby Sjöstad,True,4.0,"Hammarby Sjöstad,Stockholm",2466.0,Stockholms kommun,False,3880000,45.5,2.0,59.3028836,18.0903592,59.3324,18.0645,3.5951161534594243
Högsätravägen 15,43717.94871794872,True,Gångsätra,True,5.0,"Gångsätra,Lidingö",3830.0,Lidingö kommun,False,3410000,78.0,3.0,59.3518315,18.1503456,59.3324,18.0645,5.325424690930625
Kölnagatan 2,95476.19047619047,False,Hammarby Sjöstad,True,5.0,"Hammarby Sjöstad,Stockholm",2954.0,Stockholms kommun,False,4010000,42.0,2.0,59.304218,18.0977207,59.3324,18.0645,3.656905479636038
Bäckvägen 167,69305.55555555556,False,Hägerstensåsen,False,1.0,"Hägerstensåsen,Stockholm",1874.0,Stockholms kommun,False,2495000,36.0,1.0,59.30015015,17.982865087461654,59.3324,18.0645,5.85803814100547
Trehörningen 21,31296.296296296296,True,Kallhäll,False,2.0,"Kallhäll,Järfälla",4491.0,Järfälla kommun,False,1690000,54.0,2.0,59.462579,17.8204961,59.3324,18.0645,20.007804400411977
Tellusborgsvägen 90,81142.85714285714,True,Midsommarkransen,False,3.0,"Midsommarkransen,Stockholm",2351.0,Stockholms kommun,False,2840000,35.0,1.5,59.2966694,18.0007293,59.3324,18.0645,5.374031610909089
Arkitektvägen 41,70428.57142857143,True,Bromma,False,3.0,"Bromma,Stockholm",3943.0,Stockholms kommun,False,4930000,70.0,3.0,59.331722,17.95376260170236,59.3324,18.0645,6.281064168715255
